"Player","Team","Salary","Position","K","H","M","T","FF","FA","HO","B","G","CBA","KI","PO","FP","TOG","PPM"
"Darcy Parish","Essendon",885000,"MID",9,16,2,3,0,0,0,2,0,19,0,0,79,77,0.85
"Jake Riccardi","GWS Giants",563000,"MID/FWD",8,6,7,1,0,1,1,2,3,0,0,0,79,90,0.7
"Errol Gulden","Sydney Swans",609000,"FWD",13,4,4,3,1,0,0,1,1,3,0,0,79,78,0.82
"Shannon Hurn","West Coast Eagles",736000,"DEF",12,5,7,3,0,0,0,0,0,0,4,3,79,67,1.02
"Alex Neal-Bullen","Melbourne",595000,"FWD",12,8,3,4,0,2,0,1,1,3,0,0,78,78,0.77
"Josh Battle","St Kilda",517000,"FWD",14,5,6,2,0,0,0,0,0,0,2,2,78,83,0.78
"Jason Horne-Francis","North Melbourne",290000,"MID",10,6,1,5,2,1,0,2,2,8,0,0,78,72,0.88
"Tarryn Thomas","North Melbourne",681000,"MID/FWD",8,11,3,8,0,3,0,0,0,13,0,0,78,81,0.78
"Lochie O'Brien","Carlton",449000,"MID",14,8,4,2,2,3,0,0,1,0,0,0,77,80,0.74
"James Worpel","Hawthorn",661000,"MID",15,8,4,2,1,2,0,1,0,18,0,0,77,84,0.76
"Dustin Martin","Richmond",682000,"MID/FWD",14,12,3,0,1,0,0,1,0,16,0,0,77,86,0.74
"Jordan Ridley","Essendon",671000,"DEF",16,3,8,1,1,2,0,0,0,0,5,5,77,86,0.75
"Andrew McGrath","Essendon",709000,"MID",10,11,5,2,2,0,0,0,0,9,0,0,77,79,0.81
"Kyle Langford","Essendon",726000,"MID",11,8,4,2,2,0,0,0,1,0,0,0,77,82,0.78
"Bobby Hill","GWS Giants",405000,"FWD",9,3,7,3,1,3,0,1,3,1,0,0,77,74,0.82
"Hugh Greenwood","North Melbourne",735000,"MID",10,9,1,5,2,1,0,1,1,11,0,0,77,72,0.87
"Bailey Banfield","Fremantle",419000,"FWD",10,5,8,2,1,1,0,1,1,0,0,0,77,76,0.88
"Bayley Fritsch","Melbourne",516000,"FWD",10,1,2,1,2,0,0,2,5,0,0,0,76,90,0.65
"Marcus Adams","Brisbane Lions",514000,"DEF",11,4,5,5,0,0,0,0,0,0,1,1,76,100,0.62
"Matt Crouch","Adelaide Crows",649000,"MID",10,21,2,0,1,1,0,0,0,22,0,0,76,71,0.83
"Sebastian Ross","St Kilda",669000,"MID",12,11,4,3,0,2,0,0,0,19,0,0,76,80,0.79
"Jake Aarts","Richmond",418000,"FWD",6,12,2,7,2,1,0,0,0,10,0,0,75,81,0.76
"Sam Draper","Essendon",481000,"RUC",7,2,4,5,1,5,24,2,1,19,0,0,75,79,0.79
"Jared Polec","North Melbourne",640000,"MID",13,7,3,3,1,0,0,0,0,0,0,0,75,83,0.74
"Jamaine Jones","West Coast Eagles",405000,"FWD",9,4,5,4,2,0,0,1,1,7,0,0,75,70,0.93
"Will Snelling","Essendon",656000,"FWD",5,7,1,10,1,0,0,0,0,12,0,0,73,83,0.73
"Dylan Stephens","Sydney Swans",526000,"MID",13,7,5,2,0,1,0,0,0,3,0,0,73,83,0.72
"Bailey Scott","North Melbourne",454000,"FWD",12,3,4,4,3,0,0,0,0,0,0,0,73,94,0.63
"Jake Lever","Melbourne",529000,"DEF",9,10,5,2,2,0,0,0,0,0,0,0,72,92,0.6
"Ed Richards","Western Bulldogs",368000,"DEF",9,6,8,2,1,0,0,0,0,0,3,2,72,80,0.73
"Laitham Vandermeer","Western Bulldogs",430000,"FWD",10,10,4,2,1,0,0,1,0,0,0,0,72,79,0.74
"Willem Drew","Port Adelaide",633000,"MID",6,14,3,6,2,3,0,0,0,19,0,0,72,69,0.81
"Jack Sinclair","St Kilda",665000,"DEF",12,8,5,2,0,1,0,0,0,0,5,2,72,90,0.67
"Max King","St Kilda",459000,"FWD",10,2,5,2,3,0,0,0,2,0,0,0,72,83,0.72
"Daniel McStay","Brisbane Lions",548000,"FWD",10,3,7,2,0,3,0,3,2,0,0,0,71,83,0.7
"Jack Scrimshaw","Hawthorn",669000,"DEF",12,7,3,3,0,0,0,0,0,0,3,2,71,84,0.7
"Mitch Georgiades","Port Adelaide",444000,"FWD",9,1,3,3,3,2,0,0,4,0,0,0,71,73,0.75
"Harry Perryman","GWS Giants",716000,"DEF",8,9,3,5,0,0,0,0,0,0,2,0,71,59,0.95
"Jeremy Finlayson","Port Adelaide",465000,"FWD",9,2,7,1,1,2,0,1,3,2,0,0,70,81,0.67
"Nick Hind","Essendon",709000,"DEF",15,4,5,1,1,1,0,0,0,0,2,0,70,85,0.69
"Hayden Crozier","Western Bulldogs",550000,"DEF",10,6,6,1,2,1,0,0,1,0,0,0,69,81,0.69
"Daniel Rich","Brisbane Lions",823000,"DEF",17,1,4,0,1,1,0,0,1,0,5,4,69,62,0.9
"Jai Newcombe","Hawthorn",430000,"MID",13,10,2,2,2,2,0,0,0,21,0,0,69,79,0.72
"Jason Castagna","Richmond",482000,"FWD",11,7,6,0,0,1,0,1,1,0,0,0,69,76,0.75
"Jacob Hopper","GWS Giants",746000,"MID",10,11,2,1,1,2,0,0,2,17,0,0,69,76,0.72
"Tom McDonald","Melbourne",625000,"FWD",11,2,6,2,2,3,0,0,2,0,0,0,68,78,0.67
"James Harmes","Melbourne",690000,"MID",7,10,1,5,1,1,0,0,1,2,0,0,68,68,0.77
"Aaron Naughton","Western Bulldogs",560000,"FWD",7,5,6,0,0,0,0,1,3,0,0,0,68,85,0.65
"Jack Riewoldt","Richmond",539000,"FWD",8,3,7,0,0,1,0,2,3,0,0,0,68,84,0.67
"Matthew Owies","Carlton",434000,"FWD",5,11,3,4,1,1,0,1,1,0,0,0,67,77,0.67
"Harry Schoenberg","Adelaide Crows",582000,"MID",14,8,1,3,2,3,0,1,0,13,0,0,67,85,0.61
"Aliir Aliir","Port Adelaide",556000,"DEF",10,5,8,1,2,1,0,0,0,0,0,0,67,91,0.57
"Tom Cutler","Essendon",521000,"DEF",16,1,6,1,1,2,0,0,0,0,2,2,67,89,0.63
"Brayden Maynard","Collingwood",683000,"DEF",13,5,3,3,3,2,0,0,0,0,1,0,67,87,0.61
"Josh P. Kennedy","Sydney Swans",746000,"MID",9,10,6,1,1,1,0,0,0,4,0,0,67,70,0.78
"Jack Ziebell","North Melbourne",839000,"DEF",15,4,4,0,2,0,0,0,0,0,6,6,67,81,0.67
"Nick Larkey","North Melbourne",456000,"FWD",7,7,5,1,3,1,0,1,2,0,0,0,67,91,0.6
"Liam Henry","Fremantle",317000,"FWD",9,5,7,3,0,1,0,0,0,0,0,0,67,76,0.76
"Darcy Fort","Brisbane Lions",383000,"RUC",7,5,2,1,2,0,22,1,0,8,0,0,66,84,0.64
"James Sicily","Hawthorn",510000,"DEF",16,1,5,1,3,2,0,0,0,0,2,2,66,80,0.68
"Ben Keays","Adelaide Crows",906000,"MID",10,11,0,3,1,1,0,4,0,15,0,0,66,88,0.58
"Ben Paton","St Kilda",380000,"DEF",8,10,6,1,0,0,0,0,0,0,1,0,66,86,0.64
"Sam Switkowski","Fremantle",465000,"FWD",7,4,3,5,1,0,0,1,1,0,0,0,66,69,0.83
"Jack Redden","West Coast Eagles",786000,"MID",8,12,3,2,1,0,0,0,0,13,0,0,66,84,0.68
"Kysaiah Pickett","Melbourne",539000,"FWD",7,3,2,8,0,0,0,0,0,1,0,0,65,81,0.62
"Ed Langdon","Melbourne",714000,"MID",10,8,3,1,2,1,0,1,1,0,0,0,65,95,0.52
"Hunter Clark","St Kilda",609000,"DEF/MID",11,5,4,2,1,0,0,1,0,10,0,0,65,68,0.8
"Oliver Henry","Collingwood",387000,"FWD",9,2,4,1,0,0,0,0,3,0,0,0,65,87,0.59
"Brennan Cox","Fremantle",386000,"DEF",8,9,5,2,0,0,0,0,0,0,1,0,65,84,0.67
"Brady Hough","West Coast Eagles",230000,"MID",11,3,8,1,1,1,0,0,0,0,0,0,65,83,0.68
"Bailey Williams","Western Bulldogs",565000,"DEF",13,6,2,0,1,0,0,0,1,0,0,0,64,80,0.65
"Josh Schache","Western Bulldogs",408000,"DEF/FWD",13,2,6,0,3,0,0,0,0,0,1,1,64,100,0.52
"Tim Membrey","St Kilda",647000,"FWD",8,4,5,0,1,1,0,1,3,0,0,0,64,82,0.65
"Sam Taylor","GWS Giants",550000,"DEF",9,4,6,3,2,1,0,0,0,0,0,0,64,86,0.59
"Sam Wicks","Sydney Swans",477000,"FWD",5,9,2,6,1,0,0,0,0,0,0,0,64,86,0.61
"Oscar McDonald","Carlton",343000,"FWD",12,9,4,0,0,1,0,0,0,0,0,0,63,96,0.5
"Roarke Smith","Western Bulldogs",389000,"MID",11,6,5,2,1,2,0,0,0,0,0,0,63,76,0.67
"Zac Bailey","Brisbane Lions",610000,"MID/FWD",9,9,1,2,0,2,0,1,2,16,0,0,63,80,0.64
"Dougal Howard","St Kilda",512000,"DEF",10,3,6,3,0,1,0,0,0,0,2,2,63,91,0.58
"Xavier O'Halloran","GWS Giants",429000,"MID",13,7,3,1,0,1,0,0,0,0,0,0,63,89,0.56
"Luke Foley","West Coast Eagles",363000,"DEF",10,2,7,2,0,0,0,0,0,0,0,0,63,96,0.57
"Ivan Soldo","Richmond",393000,"RUC",7,2,3,3,1,1,11,1,1,5,0,0,62,60,0.85
"Zach Merrett","Essendon",925000,"MID",9,9,4,1,1,0,0,0,0,11,0,0,62,45,1.15
"Isaac Cumming","GWS Giants",722000,"DEF",14,5,2,1,0,0,0,0,0,0,6,5,62,73,0.67
"Curtis Taylor","North Melbourne",501000,"MID/FWD",10,7,3,2,1,0,0,0,0,0,0,0,62,75,0.67
"Tom Barrass","West Coast Eagles",523000,"DEF",9,6,6,1,1,0,0,0,0,0,0,0,62,88,0.61
"Connor West","West Coast Eagles",362000,"FWD",7,9,0,4,4,1,0,0,1,7,0,0,62,69,0.78
"Jake Bowey","Melbourne",371000,"DEF",11,11,2,0,0,0,0,0,0,0,2,1,61,83,0.56
"Harris Andrews","Brisbane Lions",566000,"DEF",10,1,9,2,0,2,0,0,0,0,1,0,61,100,0.5
"Chad Wingard","Hawthorn",740000,"MID/FWD",12,3,2,2,2,1,0,0,1,2,0,0,61,67,0.75
"Chayce Jones","Adelaide Crows",404000,"DEF",11,5,5,2,1,2,0,0,0,0,2,2,61,88,0.54
"Will Hayward","Sydney Swans",522000,"FWD",9,2,7,3,0,1,0,0,0,0,0,0,61,92,0.54
"Jy Simpkin","North Melbourne",801000,"MID",10,5,5,2,1,1,0,0,0,15,0,0,61,82,0.61
"Hayden Young","Fremantle",543000,"DEF",8,9,4,2,2,1,0,0,0,0,0,0,61,72,0.73
"Will Setterfield","Carlton",661000,"MID",10,8,3,2,0,1,0,0,0,0,0,0,60,88,0.52
"Adam Tomlinson","Melbourne",493000,"DEF",16,5,2,0,2,2,0,0,0,0,3,2,60,95,0.48
"Lachlan Sholl","Adelaide Crows",564000,"MID",11,10,2,1,0,1,0,0,0,0,0,0,60,90,0.52
"Callum Wilkie","St Kilda",529000,"DEF",11,1,6,3,1,2,0,0,0,0,0,0,60,82,0.61
"Tanner Bruhn","GWS Giants",316000,"FWD",10,8,2,0,2,0,0,0,1,12,0,0,60,71,0.67
"Logan McDonald","Sydney Swans",331000,"FWD",8,4,5,0,0,0,0,1,2,0,0,0,60,71,0.69
"Cody Weightman","Western Bulldogs",480000,"FWD",8,7,3,3,1,1,0,2,0,0,0,0,59,78,0.62
"Brandon Starcevich","Brisbane Lions",418000,"DEF",11,6,5,1,1,2,0,0,0,0,4,3,59,84,0.57
"Blake Hardwick","Hawthorn",683000,"DEF",8,8,5,1,0,0,0,0,0,0,5,4,59,89,0.55
"Shane Edwards","Richmond",545000,"MID",8,5,5,0,1,1,0,0,2,0,0,0,59,78,0.62
"Tom Hickey","Sydney Swans",690000,"RUC",10,8,2,1,1,6,14,0,1,17,0,0,59,68,0.71
"Jack Viney","Melbourne",740000,"MID",9,8,1,3,3,1,0,0,0,20,0,0,58,72,0.62
"Harry Morrison","Hawthorn",561000,"MID/FWD",13,4,2,2,0,1,0,0,0,0,0,0,58,90,0.53
"Ned McHenry","Adelaide Crows",418000,"FWD",7,6,3,4,2,3,0,1,1,0,0,0,58,82,0.55
"Will Hoskin-Elliott","Collingwood",603000,"MID",9,3,5,3,0,1,0,1,0,0,0,0,58,79,0.58
"Jamie Elliott","Collingwood",620000,"FWD",9,6,2,2,0,1,0,2,1,10,0,0,58,78,0.59
"Nathan Wilson","Fremantle",517000,"DEF",7,5,7,2,1,1,0,0,0,0,1,0,58,42,1.2
"Michael Frederick","Fremantle",397000,"FWD",7,1,7,1,0,0,0,4,1,0,0,0,58,70,0.72
"Tom Joyce","West Coast Eagles",NA,NA,8,9,5,1,0,1,0,0,0,10,0,0,58,60,0.84
"Connor Macdonald","Hawthorn",240000,"MID",8,8,2,1,0,0,0,1,1,0,0,0,57,71,0.66
"Nicholas Martin","Essendon",NA,NA,6,10,2,3,0,0,0,1,0,0,0,0,57,42,1.13
"Brad Crouch","St Kilda",798000,"MID",7,9,1,3,0,1,0,0,1,14,0,0,57,64,0.74
"Dan Butler","St Kilda",460000,"FWD",7,3,3,2,0,0,0,1,2,0,0,0,57,84,0.57
"Finlay Macrae","Collingwood",351000,"MID",5,9,2,3,0,0,0,0,1,3,0,0,57,57,0.79
"Lachie Schultz","Fremantle",486000,"FWD",10,2,8,1,0,2,0,1,0,0,0,0,57,76,0.65
"David Mundy","Fremantle",746000,"MID",7,5,4,3,0,0,0,2,0,10,0,0,57,62,0.8
"Travis Colyer","Fremantle",473000,"FWD",9,2,5,1,1,0,0,0,1,0,0,0,57,81,0.61
"Liam Ryan","West Coast Eagles",474000,"FWD",7,3,4,2,1,1,0,0,2,0,0,0,57,71,0.7
"Marc Pittonet","Carlton",588000,"RUC",5,9,1,1,5,1,14,0,0,24,0,0,56,85,0.51
"Joe Daniher","Brisbane Lions",605000,"FWD",10,2,7,1,0,2,1,2,0,0,0,0,56,90,0.51
"Nakia Cockatoo","Brisbane Lions",339000,"FWD",12,1,2,2,0,1,0,1,1,1,0,0,56,77,0.59
"Matt Flynn","GWS Giants",590000,"RUC",4,10,2,2,1,2,15,0,0,17,0,0,56,68,0.65
"Patrick McCartin","Sydney Swans",271000,"DEF/FWD",11,3,7,0,2,2,0,0,0,0,0,0,56,91,0.5
"Jack Mahony","North Melbourne",439000,"FWD",6,8,1,6,1,2,0,0,0,0,0,0,56,80,0.57
"Lewis Young","Carlton",382000,"DEF/RUC",9,6,4,1,0,0,0,0,0,0,0,0,55,100,0.42
"Dylan Moore","Hawthorn",590000,"FWD",4,8,3,5,0,1,0,1,0,0,0,0,55,85,0.53
"Joshua Gibcus","Richmond",274000,"DEF",9,4,2,3,2,0,0,0,0,0,1,1,55,81,0.56
"Connor Idun","GWS Giants",468000,"DEF",8,4,3,3,2,0,0,0,0,0,0,0,55,65,0.67
"Jordan De Goey","Collingwood",707000,"MID/FWD",9,8,3,0,0,1,0,0,1,15,0,0,55,71,0.61
"Kayne Turner","North Melbourne",418000,"DEF",5,4,1,7,1,0,0,0,0,0,0,0,55,82,0.55
"Tom Sparrow","Melbourne",421000,"MID/FWD",5,9,1,2,1,1,0,0,2,11,0,0,54,78,0.53
"Lachie Hunter","Western Bulldogs",714000,"MID",7,7,2,4,0,1,0,0,0,0,0,0,54,84,0.52
"Max Lynch","Hawthorn",392000,"RUC",4,5,2,3,2,0,11,1,0,8,0,0,54,39,1.14
"Tom J. Lynch","Richmond",519000,"FWD",8,3,4,2,3,4,0,1,2,0,0,0,54,87,0.51
"Ryan Byrnes","St Kilda",528000,"MID/FWD",10,4,6,1,0,2,0,0,0,0,0,0,54,63,0.71
"Steele Sidebottom","Collingwood",741000,"MID/FWD",6,10,3,2,2,1,0,0,0,0,0,0,54,82,0.52
"Braeden Campbell","Sydney Swans",414000,"DEF",7,8,4,2,0,1,0,0,0,0,0,0,54,80,0.55
"Aidan Corr","North Melbourne",411000,"DEF",8,2,3,4,1,0,0,0,0,0,1,1,54,82,0.54
"Finn Maginness","Hawthorn",311000,"MID/FWD",7,8,4,1,0,0,0,0,0,4,0,0,53,83,0.53
"Brayden Ham","Essendon",435000,"MID/FWD",8,9,3,0,1,0,0,1,0,0,0,0,53,80,0.55
"Jade Gresham","St Kilda",509000,"MID/FWD",12,6,0,2,0,3,0,0,1,5,0,0,53,77,0.57
"Callum L. Brown","Collingwood",436000,"FWD",6,11,1,3,1,1,0,0,0,6,0,0,53,44,0.95
"Luke Jackson","Melbourne",520000,"RUC/FWD",3,9,3,3,0,2,10,0,0,10,0,0,52,69,0.58
"James Stewart","Essendon",408000,"DEF",10,5,6,0,0,2,0,0,0,0,0,0,52,87,0.5
"Patrick Naish","West Coast Eagles",NA,NA,9,5,3,0,0,0,0,0,1,0,0,0,52,37,1.22
"Noah Answerth","Brisbane Lions",325000,"DEF",8,2,3,3,2,0,0,0,0,0,0,0,51,69,0.6
"Tom Jonas","Port Adelaide",510000,"DEF",9,4,6,1,0,2,0,0,0,0,0,0,51,89,0.44
"Kaine Baldwin","Essendon",190000,"FWD",7,3,3,3,0,1,0,0,1,0,0,0,51,80,0.53
"Jimmy Webster","St Kilda",518000,"DEF",8,5,4,1,1,0,0,0,0,0,2,0,51,78,0.54
"Phil Davis","GWS Giants",357000,"DEF",7,5,6,1,1,1,0,0,0,0,0,0,51,79,0.51
"Sam Hayes","Port Adelaide",190000,"RUC",5,2,3,1,1,1,19,1,0,12,0,0,50,45,0.86
"Mason Redman","Essendon",567000,"DEF",7,6,4,2,0,3,0,0,1,0,0,0,50,78,0.53
"Nik Cox","Essendon",471000,"MID",6,7,4,1,0,0,0,2,0,4,0,0,50,78,0.53
"Jack Higgins","St Kilda",579000,"FWD",6,7,3,2,2,1,0,2,0,0,0,0,50,78,0.53
"Lachie Ash","GWS Giants",652000,"DEF/MID",10,2,5,1,0,1,0,0,0,1,0,0,50,70,0.57
"Tom McCartin","Sydney Swans",456000,"DEF",9,5,5,1,0,2,0,0,0,0,0,0,50,90,0.45
"Jackson Nelson","West Coast Eagles",446000,"DEF",7,3,5,0,2,0,0,0,1,0,0,0,50,70,0.62
"Tom De Koning","Carlton",507000,"RUC",6,3,3,3,2,2,8,0,0,5,0,0,49,83,0.45
"Callum Ah Chee","Brisbane Lions",347000,"DEF",7,4,3,4,1,2,0,0,0,0,0,0,49,42,0.95
"Rory Laird","Adelaide Crows",937000,"MID",7,9,2,4,0,4,0,0,0,12,0,0,49,44,0.86
"Devon Smith","Essendon",543000,"FWD",7,3,2,3,2,0,0,2,0,0,0,0,49,83,0.49
"Jack Hayes","St Kilda",190000,"FWD/RUC",8,4,3,1,2,3,4,1,1,6,0,0,49,78,0.52
"Zac Langdon","West Coast Eagles",392000,"FWD",4,7,3,4,0,1,0,1,0,0,0,0,49,79,0.54
"Jack Petruccelle","West Coast Eagles",404000,"FWD",4,5,1,5,1,1,0,0,1,2,0,0,49,76,0.56
"Jason Johannisen","Western Bulldogs",404000,"FWD",6,5,2,3,1,2,0,1,1,0,0,0,48,84,0.46
"Lincoln McCarthy","Brisbane Lions",538000,"FWD",10,4,3,1,0,3,0,0,1,0,0,0,48,84,0.46
"Ned Long","Hawthorn",190000,"MID/FWD",6,3,2,4,1,1,0,4,0,2,0,0,48,43,0.92
"Luke Breust","Hawthorn",513000,"FWD",6,6,2,2,0,1,0,1,1,0,0,0,48,74,0.53
